date,s1_trade_date,code,name,value,raw_score,adjusted_score,confidence,sample_count,replacement_count,rating,source,basis,missing,event_db_maturity,raw_bd_amount,quality_bd_amount,true_value,proxy_value,true_sample_count,proxy_sample_count,proxy_type,leader_excess_median_5d,leader_win_rate_5d,leader_excess_median_10d,leader_breadth_20d
2026-05-30,20260529,S2-01,BD落地频率,4.00000000,1.0000,0.6500,0.6000,2,0,超预期,bd_events.csv,近90日重大BD 2 笔；过去365日事件库记录 2 笔,过去4季度基准不足，当前倍数仅基于事件库现有样本,low,,,,,0,0,,,,,
2026-05-30,20260529,S2-02,BD金额质量,1600000000.00000000,1.0000,0.6500,0.6000,2,0,超预期,bd_events.csv,"近90日raw金额 1,600,000,000 USD；质量金额 1,425,000,000 USD",去年同期金额基准不足，V1以近90日金额绝对强度辅助评分,,1600000000.00000000,1425000000.00000000,,,0,0,,,,,
2026-05-30,20260529,S2-03,龙头业绩兑现率,1.00000000,1.0000,0.6500,0.6000,1,0,超预期,earnings_events.csv,1/1 个已披露龙头事件标记为超预期,,,,,,,0,0,,,,,
2026-05-30,20260529,S2-04,数据催化转化率,1.00000000,1.0000,0.6000,0.6000,1,1,超预期,clinical_events.csv + 本地行情,真实标的样本 0/0；含替代口径样本 1/1；其中 1 个因标的行情缺失，使用 589720.SH 跑赢 159557.SZ 作为ETF承接替代口径,,,,,,1.00000000,0,1,ETF承接替代,,,,
2026-05-30,20260529,S2-05,龙头接力强度,0.01542650,0.7000,0.7000,0.6500,3,3,符合预期,事件库 + 本地行情,核心催化后5日超额收益中位数 1.54%；其中 3 个事件因标的行情缺失，使用本地A股龙头池相对 589720.SH 的中位超额收益,,,,,,,0,0,,0.01542650,0.66666667,0.01542650,0.00000000
