condition_type,condition,horizon_days,sample_count,bio_abs_win_rate,bio_abs_mean,bio_abs_median,bio_max_drawdown,bio_vs_health_win_rate,bio_vs_tech_win_rate,bio_vs_ai_win_rate,bio_vs_health_mean,bio_vs_tech_mean,bio_vs_ai_mean,a_bio_mean,s1_future_change_mean,volume_expansion_rate,breadth_improvement_rate,confidence
a_share_lead,S1_total_upcross_0.60,0,14,0.42857143,0.00302420,0.00000000,-0.07217034,0.57142857,0.42857143,0.14285714,0.00357250,-0.00384161,0.01079499,0.00501242,0.10157143,0.00000000,0.42857143,low
a_share_lead,S1_total_upcross_0.60,1,13,0.38461538,-0.00511112,-0.01136364,-0.08157609,0.53846154,0.30769231,0.30769231,0.00072552,-0.00885931,-0.00849366,-0.00625921,-0.01707692,0.00000000,0.38461538,low
a_share_lead,S1_total_upcross_0.60,2,13,0.46153846,-0.00831076,-0.01889535,-0.12956724,0.46153846,0.30769231,0.46153846,-0.00032492,-0.00798429,-0.00986843,-0.01068990,-0.02538462,0.00000000,0.38461538,low
a_share_lead,S1_total_upcross_0.60,3,13,0.38461538,-0.00361352,-0.01866978,-0.11456237,0.53846154,0.38461538,0.46153846,0.00222230,-0.01453095,-0.01737382,-0.00400706,-0.01569231,0.00000000,0.38461538,low
a_share_lead,S1_total_upcross_0.60,5,12,0.50000000,0.00574735,-0.00521811,-0.07664126,0.58333333,0.41666667,0.33333333,0.00389201,-0.00158269,-0.01529700,0.00532413,-0.05350000,0.00000000,0.33333333,low
a_share_lead,S1_total_2d_above_0.60,0,108,0.37037037,-0.00312546,-0.00569823,-0.31791639,0.48148148,0.44444444,0.36111111,0.00019359,-0.00449246,-0.00546385,-0.00203655,-0.00194444,0.00000000,0.36111111,high
a_share_lead,S1_total_2d_above_0.60,1,108,0.38888889,-0.00201163,-0.00483694,-0.22716981,0.44444444,0.43518519,0.37962963,-0.00048965,-0.00275034,-0.00440876,-0.00166736,-0.01222222,0.00000000,0.36111111,high
a_share_lead,S1_total_2d_above_0.60,2,108,0.37037037,-0.00387783,-0.00711021,-0.40073215,0.48148148,0.40740741,0.29629630,-0.00020778,-0.00619186,-0.01032039,-0.00279759,-0.01950000,0.00000000,0.36111111,high
a_share_lead,S1_total_2d_above_0.60,3,108,0.34259259,-0.00655914,-0.00934050,-0.57356241,0.47222222,0.37962963,0.30555556,-0.00030706,-0.01130406,-0.01758708,-0.00477793,-0.02650000,0.00000000,0.36111111,high
a_share_lead,S1_total_2d_above_0.60,5,108,0.32407407,-0.01387944,-0.01863041,-0.80462330,0.41666667,0.37962963,0.27777778,-0.00080784,-0.02446646,-0.03514934,-0.00986704,-0.03533333,0.00000000,0.36111111,high
a_share_lead,S1_total_3d_above_0.60,0,97,0.38144330,-0.00274773,-0.00486618,-0.26842955,0.46391753,0.45360825,0.37113402,0.00002086,-0.00397449,-0.00495933,-0.00207226,-0.00191753,0.00000000,0.37113402,high
a_share_lead,S1_total_3d_above_0.60,1,97,0.39175258,-0.00235061,-0.00486618,-0.26039752,0.48453608,0.41237113,0.37113402,-0.00033903,-0.00353949,-0.00575362,-0.00168921,-0.01292784,0.00000000,0.37113402,high
a_share_lead,S1_total_3d_above_0.60,2,97,0.37113402,-0.00497835,-0.00720288,-0.45386688,0.47422680,0.41237113,0.28865979,-0.00044603,-0.00731228,-0.01157156,-0.00342577,-0.02090722,0.00000000,0.37113402,high
a_share_lead,S1_total_3d_above_0.60,3,97,0.34020619,-0.00818460,-0.00963855,-0.60737323,0.45360825,0.37113402,0.28865979,-0.00053603,-0.01250843,-0.01903897,-0.00611926,-0.02783505,0.00000000,0.37113402,high
a_share_lead,S1_total_3d_above_0.60,5,97,0.29896907,-0.01749447,-0.02045210,-0.83386369,0.40206186,0.36082474,0.26804124,-0.00068126,-0.02806908,-0.03837183,-0.01290358,-0.03439175,0.00000000,0.37113402,high
a_share_lead,S1-03_negative_to_positive,0,8,0.50000000,-0.00291986,0.00597270,-0.08164936,0.75000000,0.37500000,0.12500000,0.00662322,-0.01505603,-0.02006001,0.00811253,0.05925000,0.00000000,0.50000000,low
a_share_lead,S1-03_negative_to_positive,1,7,0.42857143,-0.00604394,-0.00133333,-0.04701199,0.42857143,0.14285714,0.14285714,-0.00155943,-0.01455403,-0.01637336,-0.00865808,-0.02228571,0.00000000,0.42857143,low
a_share_lead,S1-03_negative_to_positive,2,7,0.28571429,-0.01741202,-0.01987578,-0.12390173,0.42857143,0.00000000,0.00000000,-0.00154257,-0.03784164,-0.04235218,-0.01467912,-0.02400000,0.00000000,0.42857143,low
a_share_lead,S1-03_negative_to_positive,3,7,0.00000000,-0.03089271,-0.02360248,-0.18145749,0.57142857,0.00000000,0.00000000,-0.00391500,-0.05680677,-0.05636849,-0.02362534,-0.01371429,0.00000000,0.42857143,low
a_share_lead,S1-03_negative_to_positive,5,6,0.16666667,-0.03181397,-0.04161722,-0.15076826,0.50000000,0.00000000,0.16666667,-0.00481344,-0.06457077,-0.06816879,-0.01593516,-0.00100000,0.00000000,0.50000000,low
a_share_lead,S1-04_upcross_0.90x,0,11,0.54545455,0.00528006,0.00133333,-0.04678022,0.45454545,0.45454545,0.27272727,0.00113392,-0.00577052,-0.00828356,0.00380953,-0.00109091,0.00000000,0.45454545,low
a_share_lead,S1-04_upcross_0.90x,1,10,0.20000000,-0.00988285,-0.01185365,-0.10092484,0.30000000,0.40000000,0.30000000,-0.00348128,0.00051315,-0.00539303,-0.00825907,-0.00720000,0.00000000,0.40000000,low
a_share_lead,S1-04_upcross_0.90x,2,10,0.30000000,-0.01358074,-0.02204346,-0.15444464,0.40000000,0.20000000,0.40000000,-0.00313257,-0.00976046,-0.01313240,-0.01039814,0.00120000,0.00000000,0.40000000,low
a_share_lead,S1-04_upcross_0.90x,3,10,0.40000000,-0.02535101,-0.03175375,-0.24478560,0.20000000,0.20000000,0.30000000,-0.00475349,-0.02255821,-0.03592078,-0.01946658,-0.00600000,0.00000000,0.40000000,low
a_share_lead,S1-04_upcross_0.90x,5,10,0.30000000,-0.02191474,-0.03377062,-0.24799498,0.60000000,0.40000000,0.30000000,0.00147610,-0.00081542,-0.02584427,-0.01873359,-0.04440000,0.00000000,0.40000000,low
a_share_lead,S1-04_upcross_1.00x,0,10,0.50000000,0.01055630,-0.00063511,-0.04341599,0.50000000,0.60000000,0.60000000,-0.00073273,0.00866938,0.00742987,0.01186088,0.00840000,0.00000000,0.40000000,low
a_share_lead,S1-04_upcross_1.00x,1,10,0.30000000,-0.00896641,-0.01406909,-0.08605252,0.70000000,0.40000000,0.20000000,0.00367129,-0.00768262,-0.01312389,-0.00674455,0.01200000,0.00000000,0.40000000,low
a_share_lead,S1-04_upcross_1.00x,2,10,0.30000000,-0.01267036,-0.02135903,-0.15179736,0.80000000,0.50000000,0.30000000,0.00483578,-0.00278712,-0.01880715,-0.00785832,0.02580000,0.00000000,0.40000000,low
a_share_lead,S1-04_upcross_1.00x,3,10,0.30000000,-0.00846678,-0.01165577,-0.15158288,0.60000000,0.60000000,0.40000000,0.00402172,0.00889418,-0.00806114,-0.00830985,-0.00480000,0.00000000,0.40000000,low
a_share_lead,S1-04_upcross_1.00x,5,10,0.30000000,-0.01745488,-0.02625144,-0.21435392,0.70000000,0.50000000,0.30000000,0.00137737,-0.00499504,-0.01526300,-0.01717400,-0.00420000,0.00000000,0.40000000,low
a_share_lead,S1-05_upcross_30pct,0,17,0.70588235,0.02093236,0.02166847,-0.02108807,0.64705882,0.64705882,0.64705882,0.00312429,0.00421818,0.00830628,0.02341688,0.01729412,0.00000000,0.41176471,low
a_share_lead,S1-05_upcross_30pct,1,16,0.43750000,-0.00294949,-0.00421410,-0.09863310,0.31250000,0.37500000,0.18750000,-0.00163676,-0.00983891,-0.00955154,-0.00329790,-0.00900000,0.00000000,0.37500000,low
a_share_lead,S1-05_upcross_30pct,2,16,0.25000000,-0.00967602,-0.01264206,-0.13607528,0.56250000,0.37500000,0.18750000,0.00049898,-0.00343311,-0.01590261,-0.00888540,-0.01575000,0.00000000,0.37500000,low
