condition_type,condition,horizon_days,sample_count,bio_abs_win_rate,bio_abs_mean,bio_abs_median,bio_max_drawdown,bio_vs_health_win_rate,bio_vs_ai_win_rate,bio_vs_health_mean,bio_vs_ai_mean,a_bio_mean,s1_future_change_mean,volume_expansion_rate,breadth_improvement_rate,confidence
ai_state,AI_DOWN_RISK_ON,1,14,0.35714286,-0.00260043,-0.00758519,-0.08643111,0.21428571,0.57142857,-0.00259934,0.00416451,-0.00674481,-0.01036364,0.00000000,0.42857143,low
ai_state,AI_DOWN_RISK_ON,2,14,0.50000000,0.00008588,0.00050538,-0.10112280,0.42857143,0.64285714,-0.00223196,-0.00029673,-0.00755131,-0.01090909,0.00000000,0.42857143,low
ai_state,AI_DOWN_RISK_ON,3,14,0.50000000,0.00175139,0.00273296,-0.09086261,0.42857143,0.50000000,-0.00281495,-0.00891538,-0.00799029,-0.02018182,0.00000000,0.42857143,low
ai_state,AI_DOWN_RISK_ON,5,14,0.28571429,-0.01839050,-0.02285714,-0.27592779,0.28571429,0.35714286,-0.00623329,-0.02436168,-0.02641785,-0.02672727,0.00000000,0.42857143,low
ai_state,AI_HIGH_SIDEWAYS,0,6,0.33333333,-0.00805601,-0.00323406,-0.02652737,0.66666667,0.00000000,0.00228677,-0.01775216,-0.00673489,-0.01900000,0.00000000,0.33333333,low
ai_state,AI_HIGH_SIDEWAYS,1,6,0.16666667,-0.02233160,-0.02671020,-0.08731297,0.33333333,0.00000000,-0.00291201,-0.01909960,-0.01816477,0.02900000,0.00000000,0.33333333,low
ai_state,AI_HIGH_SIDEWAYS,2,6,0.00000000,-0.03023164,-0.02740299,-0.14997065,0.16666667,0.33333333,-0.00590143,-0.02670470,-0.02074713,0.03500000,0.00000000,0.33333333,low
ai_state,AI_HIGH_SIDEWAYS,3,6,0.33333333,-0.03261736,-0.02508773,-0.18913430,0.00000000,0.33333333,-0.00265150,-0.01601994,-0.02346493,0.03600000,0.00000000,0.33333333,low
ai_state,AI_HIGH_SIDEWAYS,5,6,0.16666667,-0.03499387,-0.02343824,-0.22441717,0.33333333,0.50000000,0.00023291,-0.01034830,-0.03716318,0.10500000,0.00000000,0.33333333,low
ai_state,AI_HIGH_VOLUME_STALL,0,2,0.00000000,-0.01857924,-0.01857924,-0.01065246,0.50000000,0.00000000,-0.00276161,-0.01776258,-0.00773763,-0.05100000,0.00000000,0.50000000,low
ai_state,AI_HIGH_VOLUME_STALL,1,2,0.00000000,-0.01297173,-0.01297173,-0.01480485,0.50000000,0.50000000,-0.00099876,-0.01826620,-0.01696554,-0.00600000,0.00000000,0.50000000,low
ai_state,AI_HIGH_VOLUME_STALL,2,2,0.00000000,-0.02817884,-0.02817884,-0.03903096,0.50000000,0.00000000,-0.00298698,-0.03736127,-0.02821054,0.03900000,0.00000000,0.50000000,low
ai_state,AI_HIGH_VOLUME_STALL,3,2,0.00000000,-0.04198593,-0.04198593,-0.05921938,0.50000000,0.00000000,-0.00796213,-0.04535065,-0.04037515,0.02700000,0.00000000,0.50000000,low
ai_state,AI_HIGH_VOLUME_STALL,5,2,0.00000000,-0.05533661,-0.05533661,-0.08344549,0.00000000,0.00000000,-0.00665278,-0.07962228,-0.04842854,0.03000000,0.00000000,0.50000000,low
