symbol,trade_date,open,high,low,close,pct_chg,volume,amount,source_name,source_api,source_url,adjusted_type,fetched_at,source_status,error_message,retry_count,data_version,asset_type
000963.SZ,20240617,30.71,30.88,30.56,30.79,-0.5491,50278.97,154434.588,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240618,30.72,30.78,30.3,30.44,-1.1367,82002.99,250115.661,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240619,30.5,30.55,29.88,29.91,-1.7411,69895.77,209878.09,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240620,29.9,30.02,28.95,29.0,-3.0425,105451.0,309221.801,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240621,28.94,29.22,28.61,28.83,-0.5862,98339.4,283988.962,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240624,28.79,29.14,28.37,28.76,-0.2428,87850.6,252889.3,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240625,28.75,28.9,28.36,28.66,-0.3477,82697.04,236357.407,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240626,28.7,29.55,28.63,29.49,2.896,114494.42,333671.461,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240627,29.45,29.45,28.51,28.55,-3.1875,106813.83,308391.954,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240628,28.5,28.68,27.69,27.81,-2.5919,180514.2,506337.467,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240701,27.69,28.24,27.56,28.1,1.0428,82426.37,229752.832,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240702,28.15,28.35,27.58,27.69,-1.4591,86310.1,240615.846,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240703,27.68,27.75,27.23,27.41,-1.0112,81333.41,223404.064,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240704,27.51,27.58,26.29,26.38,-3.7578,167402.72,446409.602,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240705,26.36,27.63,26.3,27.52,4.3215,185265.23,501511.935,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
000963.SZ,20240708,27.46,27.46,26.39,26.5,-3.7064,112849.67,302418.569,citydata,daily,https://tushare.citydata.club,none,2026-07-01T23:58:01,success,,1,v1,a_share_stock
