symbol,trade_date,close,source_name,source_api,source_url,fetched_at,source_status,error_message,pct_1d,pct_5d,pct_10d
DXY,20260602,99.22000122070312,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,,,
DXY,20260603,99.52999877929688,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,0.0031243454422480443,,
DXY,20260604,99.41000366210938,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,-0.0012056175892615206,,
DXY,20260605,100.06999969482422,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,0.006639130956660466,,
DXY,20260608,100.05000305175781,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,-0.00019982655268702132,,
DXY,20260609,99.91000366210938,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,-0.001399294206677948,0.0069542676165808,
DXY,20260610,99.94999694824219,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,0.0004002931104682972,0.004219814870857652,
DXY,20260611,99.86000061035156,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,-0.0009004136131912643,0.004526676709234456,
DXY,20260612,99.75,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,-0.001101548264362373,-0.0031977585270320796,
DXY,20260615,99.62999725341797,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,-0.0012030350534539824,-0.0041979588758489506,
DXY,20260616,99.54000091552734,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,-0.0009033056345641999,-0.003703360354518237,0.0032251531030766944
DXY,20260617,100.08999633789062,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,0.00552537087909033,0.0014006942863733496,0.005626419827809981
DXY,20260618,100.8499984741211,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,0.007593187771381293,0.009913857978355534,0.014485411517599411
DXY,20260619,100.82499694824219,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/DX-Y.NYB?range=15d&interval=1d,2026-06-19T21:34:31,success,,-0.00024790804419616563,0.01077691176182638,0.007544691273313031
HSTECH,,,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/%5EHSTECH?range=15d&interval=1d,2026-06-19T21:34:31,failed,HTTPError: HTTP Error 404: Not Found,,,
IBB,20260529,172.17999267578125,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,,,
IBB,20260601,169.3699951171875,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,-0.016320116611254765,,
IBB,20260602,164.27000427246094,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,-0.030111536823260066,,
IBB,20260603,167.5,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,0.019662723829858342,,
IBB,20260604,171.42999267578125,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,0.02346264284048516,,
IBB,20260605,168.44000244140625,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,-0.017441465100158093,-0.021721398498474098,
IBB,20260608,166.9199981689453,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,-0.009024010035797114,-0.014465354070223757,
IBB,20260609,169.36000061035156,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,0.01461779575947908,0.030985549433895976,
IBB,20260610,165.92999267578125,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,-0.020252762885031972,-0.009373178055037346,
IBB,20260611,170.49000549316406,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,0.027481546547722946,-0.005483213106092566,
IBB,20260612,170.66000366210938,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,0.000997115159059092,0.013179774332260363,-0.008827907296604764
IBB,20260615,172.1699981689453,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,0.008847969497443486,0.03145219301216562,0.016531871833735945
IBB,20260616,171.44000244140625,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,-0.004239970583160169,0.012281541234994364,0.04364764097195151
IBB,20260617,173.44000244140625,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,0.011665888774608169,0.04526011027011356,0.035462701142723985
IBB,20260618,173.63999938964844,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/IBB?range=15d&interval=1d,2026-06-19T21:34:26,success,,0.0011531189196665181,0.01847612056420922,0.01289159895168912
QQQ,20260529,738.3099975585938,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,,,
QQQ,20260601,742.739990234375,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,0.006000179721837862,,
QQQ,20260602,746.1599731445312,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,0.004604549310825545,,
QQQ,20260603,744.2100219726562,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,-0.002613315163043861,,
QQQ,20260604,740.6099853515625,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,-0.00483739336316813,,
QQQ,20260605,705.0599975585938,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,-0.04800095663859216,-0.0450352834310106,
QQQ,20260608,716.0700073242188,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,0.015615706186351996,-0.035907562889861966,
QQQ,20260609,707.8300170898438,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,-0.011507241121808565,-0.051369622378903745,
QQQ,20260610,693.6900024414062,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,-0.019976568253734728,-0.06788408922166622,
QQQ,20260611,717.1199951171875,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,0.033775883454166156,-0.03171708550921637,
QQQ,20260612,721.3400268554688,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,0.005884694007997515,0.023090275087578105,-0.022984885426501678
QQQ,20260615,744.0,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,0.03141371932916659,0.03900455596534336,0.00169643452916457
QQQ,20260616,729.8599853515625,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,-0.019005396032846122,0.0311232467256648,-0.02184516508474177
QQQ,20260617,722.510009765625,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,-0.010070391216744357,0.04154594591645866,-0.02915845200459899
QQQ,20260618,740.6199951171875,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?range=15d&interval=1d,2026-06-19T21:34:23,success,,0.025065376405563056,0.03276996898707285,1.3515569359023871e-05
SMH,20260529,598.9299926757812,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/SMH?range=15d&interval=1d,2026-06-19T21:34:25,success,,,,
SMH,20260601,607.8099975585938,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/SMH?range=15d&interval=1d,2026-06-19T21:34:25,success,,0.014826448819402316,,
SMH,20260602,632.2100219726562,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/SMH?range=15d&interval=1d,2026-06-19T21:34:25,success,,0.04014416431462253,,
SMH,20260603,637.9000244140625,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/SMH?range=15d&interval=1d,2026-06-19T21:34:25,success,,0.009000177541716337,,
SMH,20260604,627.530029296875,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/SMH?range=15d&interval=1d,2026-06-19T21:34:25,success,,-0.016256458254117145,,
SMH,20260605,569.6900024414062,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/SMH?range=15d&interval=1d,2026-06-19T21:34:25,success,,-0.09217093072068028,-0.04882038066543026,
SMH,20260608,598.1599731445312,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/SMH?range=15d&interval=1d,2026-06-19T21:34:25,success,,0.04997449592079373,-0.015876712217344213,
SMH,20260609,591.010009765625,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/SMH?range=15d&interval=1d,2026-06-19T21:34:25,success,,-0.011953262839234813,-0.06516823646432668,
SMH,20260610,570.9099731445312,yahoo,chart,https://query2.finance.yahoo.com/v8/finance/chart/SMH?range=15d&interval=1d,2026-06-19T21:34:25,success,,-0.03400963822772607,-0.1050165366133422,
