condition_type,condition,horizon_days,sample_count,bio_abs_win_rate,bio_abs_mean,bio_abs_median,bio_max_drawdown,bio_vs_health_win_rate,bio_vs_tech_win_rate,bio_vs_ai_win_rate,bio_vs_health_mean,bio_vs_tech_mean,bio_vs_ai_mean,a_bio_mean,s1_future_change_mean,volume_expansion_rate,breadth_improvement_rate,confidence
ai_state,AI_2D_DOWN,0,2,0.50000000,-0.00519730,-0.00519730,0.00000000,0.50000000,0.50000000,0.50000000,-0.00054299,-0.00721422,-0.00038157,0.01152677,0.03600000,0.00000000,0.50000000,low
ai_state,AI_2D_DOWN,1,2,0.00000000,-0.01329604,-0.01329604,-0.00952381,0.00000000,0.00000000,0.00000000,-0.00777208,-0.04240537,-0.02947944,-0.00734706,-0.00300000,0.00000000,0.50000000,low
ai_state,AI_2D_DOWN,2,2,0.00000000,-0.00768072,-0.00768072,-0.00833333,0.50000000,0.00000000,0.00000000,-0.01169694,-0.02231129,-0.01414349,-0.00488778,0.02700000,0.00000000,0.50000000,low
ai_state,AI_2D_DOWN,3,2,1.00000000,0.00649025,0.00649025,0.00000000,0.50000000,0.00000000,0.00000000,-0.01416006,-0.06693813,-0.02575019,-0.00558577,-0.03900000,0.00000000,0.50000000,low
ai_state,AI_2D_DOWN,5,2,0.00000000,-0.00846242,-0.00846242,-0.01190476,0.00000000,0.00000000,0.00000000,-0.01629931,-0.09195085,-0.06290566,-0.01411343,0.04200000,0.00000000,0.50000000,low
ai_state,AI_2D_UP,0,10,0.70000000,0.00163115,0.00289334,-0.02676632,0.20000000,0.30000000,0.10000000,-0.00344063,-0.01282446,-0.01639824,0.00836950,-0.00840000,0.00000000,0.50000000,low
ai_state,AI_2D_UP,1,10,0.30000000,-0.00404840,-0.00947988,-0.03953068,0.60000000,0.50000000,0.20000000,0.00164748,-0.00795526,-0.01527932,-0.00334338,0.00300000,0.00000000,0.50000000,low
ai_state,AI_2D_UP,2,10,0.20000000,-0.01705674,-0.02028446,-0.11237318,0.70000000,0.40000000,0.10000000,0.00188095,-0.01246415,-0.02370298,-0.01671898,0.00240000,0.00000000,0.50000000,low
ai_state,AI_2D_UP,3,10,0.30000000,-0.03145011,-0.04581617,-0.22798077,0.60000000,0.10000000,0.10000000,0.00144534,-0.03428210,-0.03892555,-0.02016078,0.06360000,0.00000000,0.50000000,low
ai_state,AI_2D_UP,5,10,0.20000000,-0.03454582,-0.03713368,-0.30103637,0.10000000,0.30000000,0.30000000,-0.00194806,-0.02667908,-0.02874704,-0.01597645,0.09660000,0.00000000,0.50000000,low
ai_state,AI_3D_PLUS_UP,0,33,0.45454545,-0.00069494,-0.00107527,-0.09866993,0.51515152,0.21212121,0.21212121,-0.00028992,-0.01128158,-0.01325630,0.00065775,0.00545455,0.00000000,0.36363636,medium
ai_state,AI_3D_PLUS_UP,1,33,0.33333333,-0.00243342,-0.00369004,-0.18161060,0.39393939,0.39393939,0.21212121,-0.00068808,-0.00571947,-0.00809162,-0.00092817,0.01181818,0.00000000,0.36363636,medium
ai_state,AI_3D_PLUS_UP,2,33,0.33333333,-0.00245089,-0.00851582,-0.21831688,0.33333333,0.27272727,0.33333333,-0.00352531,-0.00774424,-0.00732885,0.00061651,0.01336364,0.00000000,0.36363636,medium
ai_state,AI_3D_PLUS_UP,3,33,0.30303030,-0.00794202,-0.01703163,-0.38202678,0.30303030,0.24242424,0.21212121,-0.00556332,-0.01764442,-0.01743836,-0.00486696,0.00545455,0.00000000,0.36363636,medium
ai_state,AI_3D_PLUS_UP,5,33,0.33333333,-0.01428649,-0.02073171,-0.50299397,0.27272727,0.12121212,0.15151515,-0.00670533,-0.04270000,-0.04056657,-0.01196408,0.00972727,0.00000000,0.36363636,medium
ai_state,AI_DOWN_RISK_OFF,0,42,0.02380952,-0.01818019,-0.01630320,-0.53528781,0.42857143,0.54761905,0.45238095,-0.00074210,0.00240029,0.00224102,-0.01855654,-0.00528571,0.00000000,0.38095238,high
ai_state,AI_DOWN_RISK_OFF,1,41,0.48780488,0.00416017,0.00000000,-0.08273688,0.46341463,0.46341463,0.43902439,0.00043322,-0.00290125,0.00428406,0.00651790,-0.00248780,0.00000000,0.36585366,high
ai_state,AI_DOWN_RISK_OFF,2,41,0.56097561,0.00481286,0.00485437,-0.15652568,0.43902439,0.43902439,0.41463415,0.00089316,-0.00344588,-0.00005350,0.00895620,0.00570000,0.00000000,0.36585366,high
ai_state,AI_DOWN_RISK_OFF,3,41,0.56097561,0.00938390,0.00557103,-0.15684306,0.56097561,0.56097561,0.51219512,0.00286760,0.00099343,0.00108383,0.01228334,-0.00124390,0.00000000,0.36585366,high
ai_state,AI_DOWN_RISK_OFF,5,40,0.52500000,0.00842378,0.00660802,-0.22920136,0.55000000,0.55000000,0.42500000,0.00319373,-0.00304158,0.00878673,0.01364602,-0.00435000,0.00000000,0.35000000,high
ai_state,AI_DOWN_RISK_ON,0,17,1.00000000,0.02635643,0.02674897,0.00000000,0.52941176,0.94117647,1.00000000,0.00171782,0.04224093,0.05718654,0.02272036,0.02475000,0.00000000,0.41176471,low
ai_state,AI_DOWN_RISK_ON,1,17,0.47058824,0.00385143,-0.00480769,-0.05753804,0.23529412,0.70588235,0.64705882,-0.00131786,0.01021470,0.00813986,-0.00040699,0.00431250,0.00000000,0.41176471,low
ai_state,AI_DOWN_RISK_ON,2,16,0.62500000,0.00745278,0.00530773,-0.05178728,0.50000000,0.68750000,0.56250000,-0.00148306,0.01248111,0.00948333,-0.00294678,-0.00412500,0.00000000,0.43750000,low
ai_state,AI_DOWN_RISK_ON,3,16,0.62500000,0.01264033,0.01434281,-0.07335329,0.50000000,0.62500000,0.62500000,-0.00086632,0.00870964,0.00669406,-0.00107394,0.01387500,0.00000000,0.43750000,low
ai_state,AI_DOWN_RISK_ON,5,16,0.56250000,0.00711216,0.01436119,-0.10211342,0.37500000,0.43750000,0.43750000,0.00063721,-0.00413919,-0.00659710,-0.00337087,-0.00620000,0.00000000,0.43750000,low
ai_state,AI_HIGH_SIDEWAYS,0,13,0.38461538,-0.00371268,-0.00484653,-0.05651511,0.69230769,0.15384615,0.23076923,0.00059417,-0.01124660,-0.01262712,-0.00648028,-0.02076923,0.00000000,0.30769231,low
ai_state,AI_HIGH_SIDEWAYS,1,13,0.30769231,-0.00921537,-0.01058201,-0.12603028,0.61538462,0.30769231,0.23076923,-0.00042242,-0.00413563,-0.00724010,-0.00949047,0.00784615,0.00000000,0.30769231,low
ai_state,AI_HIGH_SIDEWAYS,2,13,0.23076923,-0.01765686,-0.02053915,-0.19671750,0.38461538,0.46153846,0.38461538,-0.00315290,-0.01181625,-0.01162501,-0.01505674,0.02676923,0.00000000,0.30769231,low
ai_state,AI_HIGH_SIDEWAYS,3,13,0.15384615,-0.02421330,-0.03354839,-0.24864028,0.30769231,0.38461538,0.38461538,-0.00436222,-0.02341667,-0.01923676,-0.02011988,0.02307692,0.00000000,0.30769231,low
ai_state,AI_HIGH_SIDEWAYS,5,13,0.15384615,-0.02769385,-0.03877221,-0.29259817,0.23076923,0.38461538,0.38461538,-0.00661171,-0.03323879,-0.02868684,-0.02156736,0.00738462,0.00000000,0.30769231,low
ai_state,AI_INTERNAL_ROTATION,0,49,0.36734694,-0.00175417,-0.00438596,-0.20706500,0.48979592,0.36734694,0.20408163,0.00121966,-0.01686947,-0.01715266,0.00377358,0.00967347,0.00000000,0.42857143,high
ai_state,AI_INTERNAL_ROTATION,1,49,0.53061224,0.00323032,0.00328947,-0.15928208,0.46938776,0.42857143,0.40816327,0.00024616,-0.00002875,-0.00158630,0.00409789,0.00768750,0.00000000,0.42857143,high
ai_state,AI_INTERNAL_ROTATION,2,49,0.46938776,0.00410846,-0.00115340,-0.21498717,0.53061224,0.40816327,0.38775510,0.00146354,-0.00571122,-0.00822351,0.00767420,0.01034694,0.00000000,0.42857143,high
