ticker,company,market,weight,source,note
688235.SH,百济神州,A,0.2,s2 v1 local stable pool,本地行情可复现的A股龙头池
688578.SH,艾力斯,A,0.2,s2 v1 local stable pool,本地行情可复现的A股龙头池
688506.SH,百利天恒,A,0.2,s2 v1 local stable pool,本地行情可复现的A股龙头池
688180.SH,君实生物,A,0.2,s2 v1 local stable pool,本地行情可复现的A股龙头池
688266.SH,泽璟制药,A,0.2,s2 v1 local stable pool,本地行情可复现的A股龙头池
