snapshot_date,QQQ_pct,SOXX_pct,SMH_pct,XBI_pct,IBB_pct,XLV_pct,XLP_pct,XLU_pct,US10Y_change,DXY_pct,HSTECH_pct,ETF_159557_pct,ETF_159567_pct,data_source,source_status
2026-06-08,-4.80%,-10.44%,-9.22%,-3.56%,-1.74%,0.61%,1.71%,0.93%,-0.22%,-0.16%,missing,-3.35%,-3.45%,hk_cache+yahoo_chart,QQQ_pct:success；SOXX_pct:success；SMH_pct:success；XBI_pct:success；IBB_pct:success；XLV_pct:success；XLP_pct:success；XLU_pct:success；US10Y_change:success；DXY_pct:success；HSTECH_pct:HTTPError: HTTP Error 404: Not Found；ETF_159557_pct:success；ETF_159567_pct:success
2026-06-09,1.56%,5.87%,5.00%,-0.19%,-0.90%,-0.24%,-0.44%,-1.87%,-0.09%,-0.34%,missing,-0.76%,0.34%,hk_cache+yahoo_chart,QQQ_pct:success；SOXX_pct:success；SMH_pct:success；XBI_pct:success；IBB_pct:success；XLV_pct:success；XLP_pct:success；XLU_pct:success；US10Y_change:success；DXY_pct:success；HSTECH_pct:HTTPError: HTTP Error 404: Not Found；ETF_159557_pct:success；ETF_159567_pct:success
